energy,diameter,dfec_lynch
21,42.2504892368,765.917537847
21,42.5831702544,783.17925915
21,42.915851272,800.401569568
21,43.2485322896,817.558577999
21,43.5812133072,834.208330288
21,43.9138943249,848.738701986
21,44.2465753425,860.193353639
21,44.5792563601,867.970408918
21,44.9119373777,871.631887803
21,45.2446183953,870.844532253
21,45.5772994129,865.349980061
21,45.9099804305,854.946867224
21,46.2426614481,839.510112627
21,46.5753424658,821.321907146
21,46.9080234834,802.773240982
21,47.240704501,784.999630025
21,47.5733855186,768.839236834
21,47.9060665362,754.935762184
21,48.2387475538,743.79962849
21,48.5714285714,735.84330087
21,48.904109589,731.403767075
21,49.2367906067,730.478540139
21,49.5694716243,729.909784
21,49.9021526419,726.837049659
21,50.2348336595,719.695022423
21,50.5675146771,707.223759205
21,50.9001956947,686.467338407
21,51.2328767123,654.77427259
21,51.5655577299,610.499399729
21,51.8982387476,554.562159729
21,52.2309197652,495.756383481
21,52.5636007828,439.482348606
21,52.8962818004,388.988634154
21,53.228962818,346.226188917
21,53.5616438356,310.722419209
21,53.8943248532,282.375590813
21,54.2270058708,261.415363396
21,54.5596868885,247.254522888
21,54.8923679061,237.872393805
21,55.2250489237,232.227551997
21,55.5577299413,229.668537097
21,55.8904109589,229.722740976
21,56.2230919765,232.024908041
21,56.5557729941,236.281776775
21,56.8884540117,242.251649999
21,57.2211350294,249.731450584
21,57.553816047,258.547995709
21,57.8864970646,268.551839003
21,58.2191780822,279.612766777
21,58.5518590998,291.616411754
21,58.8845401174,304.461645782
21,59.217221135,318.058532393
21,59.5499021526,332.32669459
21,59.8825831703,347.193991551
21,60.2152641879,362.595432232
21,60.5479452055,378.472278396
21,60.8806262231,394.771291592
21,61.2133072407,411.444093663
21,61.5459882583,428.446627519
21,61.8786692759,445.738693495
21,62.2113502935,463.283542944
21,62.5440313112,481.047532518
21,62.8767123288,498.999824268
21,63.2093933464,517.112105286
21,63.542074364,535.05379523
21,63.8747553816,551.038011353
21,64.2074363992,563.818996041
21,64.5401174168,572.614779574
21,64.8727984344,576.834830928
21,65.2054794521,576.007872753
21,65.5381604697,570.25851869
21,65.8708414873,562.580231125
21,66.2035225049,555.10304965
21,66.5362035225,549.03414575
21,66.8688845401,544.605416952
21,67.2015655577,541.851767059
21,67.5342465753,540.877909668
21,67.866927593,540.534695366
21,68.1996086106,539.666673192
21,68.5322896282,537.66782336
21,68.8649706458,534.116008161
21,69.1976516634,528.690294493
21,69.530332681,521.61232097
21,69.8630136986,514.375416358
21,70.1956947162,507.710669739
21,70.5283757339,501.832800085
21,70.8610567515,495.589622229
21,71.1937377691,488.216847654
21,71.5264187867,479.288618995
21,71.8590998043,468.500840314
21,72.1917808219,455.616266868
21,72.5244618395,439.371232505
21,72.8571428571,417.425153324
21,73.1898238748,388.848206851
21,73.5225048924,357.703186637
21,73.85518591,327.828364738
21,74.1878669276,301.141770714
21,74.5205479452,277.810043066
21,74.8532289628,257.949084135
21,75.1859099804,241.870115074
21,75.518590998,229.88432491
21,75.8512720157,222.258709658
21,76.1839530333,218.353394516
21,76.5166340509,217.133854956
21,76.8493150685,218.095131747
21,77.1819960861,220.90235063
21,77.5146771037,225.306424986
21,77.8473581213,231.111313317
21,78.1800391389,238.157165675
21,78.5127201566,246.310392333
21,78.8454011742,255.457261188
21,79.1780821918,265.499560724
21,79.5107632094,276.351496708
21,79.843444227,287.937414281
21,80.1761252446,300.190075466
21,80.5088062622,313.049317557
21,80.8414872798,326.460983959
21,81.1741682975,339.990501979
21,81.5068493151,352.316710165
21,81.8395303327,362.572913492
21,82.1722113503,369.197594619
21,82.5048923679,370.737988605
21,82.8375733855,366.241421543
21,83.1702544031,354.960338484
21,83.5029354207,337.156420754
21,83.8356164384,317.053034303
21,84.168297456,297.462049291
21,84.5009784736,280.088162984
21,84.8336594912,266.203492365
21,85.1663405088,256.542780055
21,85.4990215264,250.765965342
21,85.831702544,248.762354841
